Timestamp,Latency_ms,Status
1768232695.5656748,22.43,200
1768232696.0820913,7.13,200
1768232696.591588,9.02,200
1768232697.1059086,13.80,200
1768232697.6164978,9.96,200
1768232698.1232452,6.33,200
1768232698.630413,6.50,200
1768232699.1385386,7.17,200
1768232699.6455216,5.84,200
1768232701.6472938,1501.33,200
1768232704.177557,TIMEOUT,TIMEOUT
1768232706.6956863,TIMEOUT,TIMEOUT
1768232709.2165883,TIMEOUT,TIMEOUT
1768232711.7270439,TIMEOUT,TIMEOUT
1768232714.3281002,TIMEOUT,TIMEOUT
1768232715.8177342,988.68,200
1768232716.3297272,8.69,200
1768232716.8404684,9.01,200
1768232717.3546114,12.89,200
1768232717.8655586,9.37,200
1768232718.4176834,50.29,200
1768232718.930707,11.74,200
1768232719.4438417,11.94,200
